glottocode,name,isocodes,level,macroarea,latitude,longitude
amda1238,Amdang,amj,language,Africa,14.7528,20.8912
amen1242,Amenfi,,dialect,Africa,,
amen1243,Amengi,,dialect,Africa,,
amha1245,Amharic,amh,language,Africa,11.708182,39.543456
amir1234,Amira,,language,Africa,10.0546,30.71992
hoaa1235,Amkoe,huc,language,Africa,-23.93447,24.69828
amoo1242,Amo,amo,language,Africa,10.3229,8.65405
amou1238,Amou Oblou,,dialect,Africa,,
ampa1238,Ampari Dogon,aqd,language,Africa,14.15,-3.55
ampi1238,Ampiini,,dialect,Africa,,
mpuu1241,Ampumpwom,,dialect,Africa,,
amuu1238,Amu,,dialect,Africa,,
amur1243,Amuru,,dialect,Africa,,
anaa1238,Anaang,anw,language,Africa,4.94832,7.57969
anan1238,Ananjubi,,dialect,Africa,,
anat1248,Ana Tinga Dogon,dti,language,Africa,14.6669,-3.1168
anca1236,Áncá,acb,language,Africa,6.66524,11.1087
anch1240,Ancho,,dialect,Africa,,
andi1256,Andinai,,dialect,Africa,,
andr1247,Andri,,dialect,Africa,,
anee1234,Ane,,dialect,Africa,,
anex1238,Anexo,,dialect,Africa,,
anfi1235,Anfillo,myo,language,Africa,8.568,34.647
ango1259,Angola Nzeto,,dialect,Africa,,
ango1258,Angolar,aoa,language,Africa,0.11438,6.59486
ango1260,Angola Suku,,dialect,Africa,,
ango1253,Angole,,dialect,Africa,,
angw1242,Angwe,,dialect,Africa,,
angw1241,Angwe (Batu),,dialect,Africa,,
anha1238,Anhaqui,,dialect,Africa,,
anii1246,//Ani,hnh,language,Africa,-19.0966,22.9088
anii1247,||Ani,,dialect,Africa,,
anii1245,Anii,blo,language,Africa,9.11127,1.60169
anim1239,Animere,anf,language,Africa,7.60385,0.41962
anin1242,Aninka,aqk,language,Africa,9.08,8.51
anio1238,Aniocha,,dialect,Africa,,
anja1239,Anjagwa,,dialect,Africa,,
anka1245,Anka,,dialect,Africa,,
ankp1238,Ankpa,,dialect,Africa,,
angl1262,Anlo,,dialect,Africa,,
fada1250,Annobonese,fab,language,Africa,-1.43033,5.61879
anoo1238,Ano,,dialect,Africa,,
anta1259,Antaimoro,,dialect,Africa,,
anta1261,Antaisaka,,dialect,Africa,,
anta1260,Antambohoaka,,dialect,Africa,,
anta1262,Antanalana,,dialect,Africa,,
anta1255,Antankarana Malagasy,xmv,language,Africa,-13.2164,49.2402
anti1248,Anti-Atlas,,dialect,Africa,,
anua1242,Anuak,anu,language,Africa,7.57714,34.0267
anuf1239,Anufo,cko,language,Africa,10.2839,0.56021
anuu1242,Anu (Ghana),,dialect,Africa,,
anya1245,Anyama,,dialect,Africa,,
anya1246,Anyang (Cameroon),,dialect,Africa,,
anyi1245,Anyin,any,language,Africa,6.31781,-3.30532
anyi1244,Anyin Morofo,mtb,language,Africa,6.1627,-4.64232
anyu1238,Anyugba,,dialect,Africa,,
aowi1238,Aowin,,dialect,Africa,,
apaa1238,Apa,,dialect,Africa,,
apan1242,Apani,,dialect,Africa,,
apia1246,Apiapum,,dialect,Africa,,
apoi1238,Apoi,,dialect,Africa,,
apro1235,Aproumu Aizi,ahp,language,Africa,5.20273,-4.52192
apuk1238,Apuk,,dialect,Africa,,
aram1252,Aramanik,aam,language,Africa,-2.90656,37.3491
aram1260,Arame-Gubaare,,language,Africa,12.299274,-16.373202
araw1280,Arawa,,dialect,Africa,,
arbo1245,Arbore,arv,language,Africa,4.92183,36.7986
arch1248,Archaic Egyptian,,dialect,Africa,,
arew1238,Arewa,,dialect,Africa,,
argo1244,Argobba,agj,language,Africa,10.6596,39.756
arhe1238,Arhe,,dialect,Africa,,
arig1246,Arigidi,aqg,language,Africa,7.56324,5.89556
arig1247,Arigidí,,dialect,Africa,,
arin1244,Aringa,luc,language,Africa,3.56143,31.3071
arog1238,Arogbo,,dialect,Africa,,
aroh1238,Arohun,,dialect,Africa,,
arsi1238,Arsi,,dialect,Africa,,
arua1259,Arua,,dialect,Africa,,
arug1238,Arughunya,,dialect,Africa,,
alum1246,Arum,aab,language,Africa,9.01513,8.55956
arum1242,Arumbi,,dialect,Africa,,
arus1243,Arusa,,dialect,Africa,,
arus1242,Arusha,,language,Africa,,
arze1238,Arzeu,,dialect,Africa,,
asaa1238,Asa,,dialect,Africa,,
asan1239,Asante,,dialect,Africa,,
asee1238,Ase,,dialect,Africa,,
aseb1238,Asebi,,dialect,Africa,,
asen1242,Asen,,dialect,Africa,,
asen1243,Asento,,dialect,Africa,,
ashe1269,Ashe,ahs,language,Africa,9.36574,7.39443
ashe1270,Ashen,,dialect,Africa,,
ashu1243,Ashuku,,dialect,Africa,,
asoa1238,Asoa,asv,language,Africa,2.26818,26.7198
ason1246,Asonga,,dialect,Africa,,
ason1247,Asonga (Ngumbi),,dialect,Africa,,
assa1267,Assaikio,,dialect,Africa,,
assa1268,Assaka,,dialect,Africa,,
assa1269,Assangori,sjg,language,Africa,13.9592,22.6393
assa1272,Assaorta,,dialect,Africa,,
asun1235,Asu (Nigeria),aum,language,Africa,10.0849,5.42081
asut1235,Asu (Tanzania),asa,language,Africa,-4.17978,37.8323
asyu1234,Asyūṭ–Gina,,dialect,Africa,,
asyu1235,Asyūṭ–Luxor,,dialect,Africa,,
atab1238,Ataba,,dialect,Africa,,
atak1251,Atakat,,dialect,Africa,,
atak1250,Atakora Fulfulde,,dialect,Africa,,
atal1239,Atala,,dialect,Africa,,
atho1238,Athoc,,dialect,Africa,,
atis1238,Atisa,,dialect,Africa,,
aton1242,Atong,ato,language,Africa,6.03539,9.72121
atsa1241,Atsam,cch,language,Africa,9.95914,8.48301
atti1239,Attié,ati,language,Africa,5.9977,-3.8209
atum1238,Atumfuor,,dialect,Africa,,
auch1238,Auchi,,dialect,Africa,,
auga1239,Auga,,dialect,Africa,,
auni1244,Auni,,dialect,Africa,,
aush1241,Aushi,auh,language,Africa,-11.6295,29.0168
auss1240,Aussa,,dialect,Africa,,
auyo1240,Auyokawa,auo,language,Africa,9.85747,11.322
avar1257,Avari,,dialect,Africa,,
avat1244,Avatime,avn,language,Africa,6.8688,0.41314
aven1238,Aveno,,dialect,Africa,,
avia1241,Avianwu,,dialect,Africa,,
avia1242,Aviara,,dialect,Africa,,
avie1238,Aviele,,dialect,Africa,,
avik1243,Avikam,avi,language,Africa,5.15838,-5.2529
avok1242,Avokaya,avu,language,Africa,4.38639,29.9379
avok1243,Avokaya Pur,,dialect,Africa,,
awak1250,Awak,awo,language,Africa,9.86334,11.3291
awan1239,Awan,,dialect,Africa,,
awee1242,Aweer,bob,language,Africa,-1.40124,41.234
aweg1238,Awege,,dialect,Africa,,
awin1248,Awing,azo,language,Africa,5.88362,10.264
awji1241,Awjilah,auj,language,Africa,29.2341,21.1819
awng1244,Awngi,awn,language,Africa,10.9819,36.6916
awor1242,Awori,,dialect,Africa,,
awor1241,Aworo,,dialect,Africa,,
awut1241,Awutu,afu,language,Africa,5.42441,-0.59545
ayer1245,Ayere,aye,language,Africa,7.52206,6.01979
ayiz1245,Ayizo Gbe,ayb,language,Africa,6.62654,2.20552
